Sales,Buy,Duration,PageViews
0,No Buy,1,1
0,No Buy,3,2
0,No Buy,10,6
0,No Buy,5,5
0,No Buy,1,2
0,No Buy,11,8
0,No Buy,3,4
0,No Buy,1,7
0,No Buy,9,4
0,No Buy,29,18
0,No Buy,13,22
0,No Buy,2,1
0,No Buy,4,5
0,No Buy,28,22
0,No Buy,2,2
0,No Buy,4,6
0,No Buy,2,4
0,No Buy,2,3
0,No Buy,2,4
0,No Buy,1,3
0,No Buy,53,13
0,No Buy,25,18
0,No Buy,11,4
0,No Buy,22,11
0,No Buy,23,9
0,No Buy,1,4
0,No Buy,2,3
0,No Buy,1,2
0,No Buy,1,9
0,No Buy,1,4
0,No Buy,4,9
0,No Buy,2,7
0,No Buy,3,3
0,No Buy,2,5
0,No Buy,33,9
0.99,Buy,3,4
0.99,Buy,6,10
0.99,Buy,9,8
0.99,Buy,39,23
0.99,Buy,29,26
0,No Buy,15,11
0,No Buy,1,2
0.99,Buy,1,2
0.99,Buy,3,3
0.99,Buy,6,12
0,No Buy,1,2
0.99,Buy,2,4
0,No Buy,33,18
0,No Buy,27,3
0.99,Buy,8,10
0,No Buy,1,4
0,No Buy,6,9
0,No Buy,31,13
0,No Buy,1,4
0,No Buy,3,4
0,No Buy,1,2
0,No Buy,1,2
0.99,Buy,77,33
0.99,Buy,22,12
0,No Buy,5,4
0.99,Buy,11,3
0.99,Buy,114,46
0.99,Buy,29,4
0,No Buy,21,2
0,No Buy,29,3
0.99,Buy,168,61
0,No Buy,1,3
0,No Buy,2,4
0,No Buy,11,2
0.99,Buy,24,11
0,No Buy,2,2
0.99,Buy,143,68
0,No Buy,2,4
0,No Buy,6,2
0,No Buy,1,2
0.99,Buy,22,8
0.99,Buy,108,53
0,No Buy,3,1
0.99,Buy,8,16
0,No Buy,4,3
0,No Buy,14,14
0,No Buy,4,3
0.99,Buy,25,13
0,No Buy,2,2
0,No Buy,17,8
0.99,Buy,42,22
0,No Buy,4,6
0.99,Buy,6,5
0,No Buy,16,6
0,No Buy,5,7
0,No Buy,5,5
0,No Buy,3,4
0.99,Buy,5,6
0.99,Buy,39,14
0,No Buy,1,2
0.99,Buy,40,20
0.99,Buy,48,32
0,No Buy,2,6
0,No Buy,12,14
0,No Buy,41,6
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,1,2
0.99,Buy,35,10
0,No Buy,26,2
0.99,Buy,21,16
0,No Buy,5,5
0,No Buy,62,8
0,No Buy,9,2
0,No Buy,1,4
0,No Buy,3,3
0,No Buy,72,11
0,No Buy,1,2
0,No Buy,14,9
0,No Buy,10,12
0.99,Buy,16,7
0.99,Buy,22,7
0,No Buy,5,3
0,No Buy,50,3
0,No Buy,1,2
0,No Buy,1,4
0,No Buy,1,3
0,No Buy,25,4
0,No Buy,57,12
0,No Buy,1,3
0,No Buy,14,6
0,No Buy,5,1
0,No Buy,11,35
0,No Buy,1,4
0,No Buy,40,10
0.99,Buy,44,12
0,No Buy,1,2
0.99,Buy,4,2
0,No Buy,1,4
0,No Buy,7,4
0,No Buy,10,6
0,No Buy,1,2
0.99,Buy,22,13
0,No Buy,2,7
0,No Buy,1,2
0.99,Buy,13,8
0,No Buy,10,16
0,No Buy,9,3
0.99,Buy,31,18
0,No Buy,1,5
0,No Buy,7,5
0.99,Buy,3,6
0.99,Buy,13,10
0,No Buy,6,5
0,No Buy,1,1
0,No Buy,4,2
0,No Buy,8,62
0,No Buy,14,21
0.99,Buy,11,6
0.99,Buy,2,3
7.99,Buy,26,13
0,No Buy,1,7
0,No Buy,5,3
0,No Buy,14,6
0,No Buy,6,4
0,No Buy,10,16
0,No Buy,4,2
0,No Buy,8,7
0.99,Buy,2,2
0,No Buy,4,12
0,No Buy,5,4
0,No Buy,9,3
0,No Buy,19,8
9.99,Buy,12,15
0,No Buy,3,4
0,No Buy,36,9
0.99,Buy,30,13
11.99,Buy,4,14
0.99,Buy,51,16
0,No Buy,7,7
0,No Buy,29,2
0,No Buy,2,4
0.99,Buy,20,15
0,No Buy,2,2
0,No Buy,10,3
0,No Buy,8,2
0,No Buy,3,2
0.99,Buy,34,19
0.99,Buy,4,6
0,No Buy,1,2
0,No Buy,10,5
0.99,Buy,10,7
0.99,Buy,28,10
0.99,Buy,5,12
0.99,Buy,47,10
0.99,Buy,24,15
0.99,Buy,2,3
0.99,Buy,1,4
0.99,Buy,2,4
0.99,Buy,21,34
0.99,Buy,48,12
0.99,Buy,1,2
0,No Buy,1,2
0.99,Buy,9,14
0,No Buy,23,8
0.99,Buy,25,16
0,No Buy,3,6
0,No Buy,5,3
0,No Buy,3,4
0,No Buy,1,4
0,No Buy,28,6
0,No Buy,5,6
0.99,Buy,17,12
0,No Buy,2,2
0,No Buy,7,3
0,No Buy,2,4
9.99,Buy,3,11
0.99,Buy,10,7
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,3,4
0,No Buy,10,12
0,No Buy,1,2
0,No Buy,17,26
0,No Buy,2,3
9.99,Buy,6,29
0,No Buy,12,2
0,No Buy,4,3
0,No Buy,28,4
0,No Buy,3,6
0,No Buy,2,4
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,23,6
0,No Buy,1,2
0.99,Buy,2,3
9.99,Buy,5,12
0,No Buy,39,28
0,No Buy,2,4
0,No Buy,3,4
0,No Buy,3,4
0,No Buy,29,2
0,No Buy,1,2
0.99,Buy,1,3
0,No Buy,5,3
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,3,4
0,No Buy,39,18
0,No Buy,1,2
0,No Buy,27,27
0,No Buy,1,4
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,1,2
0.99,Buy,20,10
0,No Buy,1,2
0,No Buy,2,3
0,No Buy,1,2
0,No Buy,2,2
0.99,Buy,39,30
0,No Buy,1,2
0.99,Buy,17,17
0,No Buy,5,4
0,No Buy,1,2
0,No Buy,2,2
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,32,28
0,No Buy,5,12
0,No Buy,1,2
0.99,Buy,32,20
0.99,Buy,25,19
0,No Buy,7,10
0,No Buy,1,4
0,No Buy,2,2
0,No Buy,1,2
9.99,Buy,12,23
0,No Buy,2,2
0,No Buy,1,2
0.99,Buy,41,36
0,No Buy,42,20
0,No Buy,5,3
0.99,Buy,1,2
0.99,Buy,2,3
0.99,Buy,6,10
0.99,Buy,20,38
0.99,Buy,29,10
0.99,Buy,7,6
0.99,Buy,11,8
0,No Buy,1,2
0.99,Buy,2,2
0,No Buy,1,4
0.99,Buy,3,7
0.99,Buy,1,2
0.99,Buy,2,3
0.99,Buy,1,2
0,No Buy,2,4
0.99,Buy,1,2
0.99,Buy,1,2
0,No Buy,6,4
0,No Buy,8,5
0.99,Buy,31,11
9.99,Buy,2,11
0,No Buy,1,2
0,No Buy,36,23
0,No Buy,28,19
0.99,Buy,35,32
0,No Buy,1,2
0.99,Buy,7,4
0.99,Buy,4,10
0,No Buy,11,4
0.99,Buy,1,2
0,No Buy,1,2
0.99,Buy,1,3
0.99,Buy,2,2
0.99,Buy,1,2
0.99,Buy,3,2
0.99,Buy,11,4
0.99,Buy,15,10
0,No Buy,7,34
0,No Buy,16,12
0,No Buy,21,20
0,No Buy,2,8
0,No Buy,4,10
0,No Buy,3,2
0.99,Buy,2,3
0,No Buy,1,2
0,No Buy,6,6
0.99,Buy,6,14
0,No Buy,1,3
7.99,Buy,110,32
0,No Buy,2,6
0,No Buy,1,3
0,No Buy,29,23
9.99,Buy,4,21
0,No Buy,16,14
0,No Buy,53,16
0,No Buy,15,23
0,No Buy,36,12
0,No Buy,3,1
0,No Buy,2,4
0,No Buy,2,7
0.99,Buy,6,7
0.99,Buy,18,4
0,No Buy,3,8
0.99,Buy,38,15
0.99,Buy,6,2
0.99,Buy,4,7
0.99,Buy,40,12
0.99,Buy,74,19
0.99,Buy,8,2
0.99,Buy,3,4
0.99,Buy,61,18
1.99,Buy,4,2
0,No Buy,3,4
0,No Buy,2,3
0.99,Buy,22,9
0,No Buy,4,3
0.99,Buy,28,12
0.99,Buy,10,16
0.99,Buy,187,53
0,No Buy,6,7
0,No Buy,61,51
0,No Buy,1,2
0.99,Buy,4,4
0.99,Buy,24,8
0.99,Buy,12,7
0.99,Buy,11,6
0.99,Buy,25,18
0.99,Buy,22,16
0.99,Buy,66,54
0.99,Buy,5,7
0.99,Buy,12,5
0.99,Buy,11,5
0.99,Buy,51,36
0.99,Buy,70,38
0.99,Buy,25,6
0.99,Buy,5,8
0.99,Buy,24,8
0.99,Buy,40,19
0.99,Buy,65,30
0.99,Buy,38,10
0.99,Buy,47,17
0.99,Buy,34,12
0.99,Buy,36,6
0.99,Buy,12,5
0.99,Buy,34,10
0.99,Buy,38,24
0.99,Buy,7,5
0.99,Buy,64,45
0,No Buy,3,5
0.99,Buy,3,7
0.99,Buy,40,16
0,No Buy,5,9
0,No Buy,17,21
0,No Buy,46,21
0,No Buy,6,12
0,No Buy,2,7
0,No Buy,5,4
0,No Buy,11,8
0,No Buy,5,3
0,No Buy,3,11
0,No Buy,10,5
0,No Buy,7,6
0,No Buy,1,2
0,No Buy,1,2
0.99,Buy,63,37
0,No Buy,4,3
0,No Buy,6,9
0,No Buy,26,22
0,No Buy,5,3
0.99,Buy,32,11
0.99,Buy,22,14
0,No Buy,22,10
0,No Buy,1,2
0,No Buy,1,3
0,No Buy,69,25
0,No Buy,6,4
0.99,Buy,3,3
1.29,Buy,16,7
0.99,Buy,25,19
0.99,Buy,19,8
0,No Buy,16,13
0,No Buy,7,3
0,No Buy,3,2
0,No Buy,5,7
0,No Buy,1,2
0,No Buy,22,12
0,No Buy,13,11
9.99,Buy,6,16
0,No Buy,6,3
0.99,Buy,22,18
0.99,Buy,49,31
0,No Buy,3,3
0,No Buy,11,10
0,No Buy,2,4
0.99,Buy,83,41
9,Buy,7,12
0.99,Buy,6,9
9.99,Buy,19,27
0.99,Buy,79,53
0.99,Buy,36,23
0.99,Buy,24,13
14.85,Buy,37,27
0.99,Buy,11,10
0.99,Buy,56,30
0.99,Buy,7,3
11.99,Buy,15,18
0,No Buy,7,3
0,No Buy,4,6
0.99,Buy,2,4
0.99,Buy,2,5
0.99,Buy,13,6
0,No Buy,2,5
0,No Buy,1,3
0,No Buy,55,23
0,No Buy,36,26
0,No Buy,14,7
0,No Buy,1,2
0,No Buy,13,10
0,No Buy,18,17
0,No Buy,22,16
0,No Buy,5,5
0,No Buy,10,6
0,No Buy,2,3
0,No Buy,11,7
0,No Buy,1,1
0,No Buy,13,11
0,No Buy,3,2
0,No Buy,1,2
0,No Buy,21,13
0,No Buy,27,13
0,No Buy,1,3
0,No Buy,10,6
0,No Buy,6,5
0,No Buy,17,8
0,No Buy,3,4
0,No Buy,1,2
0,No Buy,18,12
0,No Buy,1,2
0,No Buy,2,2
0,No Buy,25,4
0,No Buy,12,6
0,No Buy,19,12
0,No Buy,49,13
0,No Buy,42,13
0,No Buy,11,3
0,No Buy,3,4
0,No Buy,32,20
0,No Buy,6,4
0,No Buy,37,24
0,No Buy,12,9
0,No Buy,6,3
0,No Buy,31,8
0,No Buy,78,29
0,No Buy,14,8
0,No Buy,10,2
0,No Buy,37,8
0,No Buy,38,10
0,No Buy,3,2
0,No Buy,3,3
0.99,Buy,4,5
0.99,Buy,51,16
0,No Buy,11,2
0,No Buy,25,3
0,No Buy,14,5
0,No Buy,5,3
0,No Buy,39,8
0,No Buy,2,2
0,No Buy,28,10
0,No Buy,1,6
0,No Buy,2,2
0.99,Buy,1,2
0,No Buy,64,22
0,No Buy,22,4
0,No Buy,3,11
0,No Buy,1,2
0,No Buy,23,7
0,No Buy,86,23
0,No Buy,2,2
0,No Buy,22,4
0,No Buy,1,2
0,No Buy,87,18
0,No Buy,1,2
0,No Buy,14,28
0,No Buy,26,28
0,No Buy,2,9
0,No Buy,46,22
0,No Buy,1,3
0,No Buy,3,7
0,No Buy,1,3
0,No Buy,2,2
0,No Buy,14,4
0,No Buy,31,33
0,No Buy,8,8
0,No Buy,5,4
0,No Buy,1,4
0.99,Buy,4,5
0,No Buy,2,6
0,No Buy,7,7
0.99,Buy,35,28
0,No Buy,11,5
0,No Buy,1,4
0.99,Buy,1,3
0.99,Buy,25,17
0,No Buy,9,6
0,No Buy,6,8
0,No Buy,1,1
0,No Buy,6,7
0.99,Buy,4,8
0,No Buy,21,10
0.99,Buy,9,7
0,No Buy,2,5
0,No Buy,2,2
0.99,Buy,30,9
0.99,Buy,26,24
0.99,Buy,3,6
0.99,Buy,16,9
0.99,Buy,8,6
0,No Buy,8,7
0.99,Buy,1,3
0.99,Buy,1,2
0,No Buy,1,2
0.99,Buy,4,4
0,No Buy,2,6
0,No Buy,20,13
0.99,Buy,29,16
0,No Buy,1,3
0,No Buy,4,2
0,No Buy,3,5
0.99,Buy,34,4
0.99,Buy,11,7
0,No Buy,24,4
0,No Buy,8,1
0,No Buy,1,2
0,No Buy,1,6
0,No Buy,1,2
0,No Buy,6,3
0,No Buy,15,18
0,No Buy,1,4
0,No Buy,1,2
0,No Buy,13,20
0,No Buy,2,3
0,No Buy,12,18
0,No Buy,7,25
0,No Buy,1,1
0,No Buy,27,19
0,No Buy,45,6
0,No Buy,11,6
0,No Buy,10,16
0,No Buy,10,14
9.99,Buy,23,23
0,No Buy,3,5
0,No Buy,87,24
0,No Buy,14,3
0,No Buy,3,2
0,No Buy,2,5
0,No Buy,2,5
0,No Buy,4,25
0,No Buy,6,8
0,No Buy,10,12
0,No Buy,8,10
0,No Buy,1,4
0,No Buy,1,4
0,No Buy,36,20
0,No Buy,1,3
0.99,Buy,23,24
0.99,Buy,21,21
0,No Buy,3,6
0,No Buy,5,11
0,No Buy,6,13
0,No Buy,16,5
0,No Buy,1,5
318,Buy,40,46
1.99,Buy,68,35
0,No Buy,38,41
0,No Buy,26,40
0,No Buy,2,2
0,No Buy,7,24
0,No Buy,16,6
0.99,Buy,9,13
0.99,Buy,12,6
0.99,Buy,21,24
0,No Buy,1,3
0.99,Buy,28,4
0.99,Buy,9,9
0,No Buy,5,6
0,No Buy,1,3
0,No Buy,1,6
0,No Buy,1,4
0,No Buy,1,2
0,No Buy,8,6
0,No Buy,1,4
0,No Buy,1,4
9.99,Buy,1,12
0,No Buy,21,6
0,No Buy,13,19
0,No Buy,1,4
0,No Buy,2,5
0,No Buy,6,6
0,No Buy,5,5
0,No Buy,10,8
0,No Buy,8,7
0.99,Buy,24,2
0,No Buy,6,7
0,No Buy,15,5
0,No Buy,3,4
0,No Buy,5,2
0,No Buy,38,5
0,No Buy,2,4
0,No Buy,2,2
0,No Buy,7,9
0,No Buy,5,6
0,No Buy,4,8
0,No Buy,5,6
0,No Buy,11,7
0,No Buy,2,5
0,No Buy,2,12
0,No Buy,4,3
0,No Buy,3,5
0,No Buy,6,6
0,No Buy,4,6
0,No Buy,3,6
0,No Buy,1,4
0,No Buy,3,6
0,No Buy,2,3
0,No Buy,1,1
0,No Buy,9,4
0,No Buy,17,5
0,No Buy,4,16
0,No Buy,2,2
0,No Buy,1,7
0,No Buy,5,1
0,No Buy,5,6
0,No Buy,1,2
0,No Buy,15,14
0.99,Buy,8,12
1.99,Buy,43,36
0,No Buy,1,1
0,No Buy,1,2
0,No Buy,24,14
0,No Buy,35,27
0,No Buy,8,9
0,No Buy,3,5
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,17,11
0,No Buy,1,3
0,No Buy,20,32
0,No Buy,22,48
12.99,Buy,15,19
0.99,Buy,11,2
0,No Buy,8,9
0,No Buy,1,2
0.99,Buy,7,4
0,No Buy,29,6
0,No Buy,7,4
0.99,Buy,35,18
0,No Buy,1,4
0,No Buy,2,3
0.99,Buy,5,2
0.99,Buy,12,13
0,No Buy,5,4
0,No Buy,2,8
0.99,Buy,1,2
0.99,Buy,2,7
0.99,Buy,5,7
0.99,Buy,43,13
0,No Buy,3,3
0,No Buy,6,5
0,No Buy,6,6
0.99,Buy,10,6
0,No Buy,1,9
0,No Buy,27,65
0,No Buy,2,5
0,No Buy,5,6
0,No Buy,7,7
0,No Buy,1,2
0,No Buy,2,4
0,No Buy,10,7
0,No Buy,1,9
0,No Buy,5,5
0,No Buy,2,5
0,No Buy,3,7
0,No Buy,9,4
0,No Buy,1,4
1.99,Buy,2,9
0,No Buy,2,5
0,No Buy,1,4
0.99,Buy,64,27
0,No Buy,10,3
0,No Buy,5,3
0,No Buy,3,5
0,No Buy,1,4
6.99,Buy,44,27
0,No Buy,1,4
0,No Buy,1,2
0,No Buy,15,7
0,No Buy,1,2
0,No Buy,17,22
0,No Buy,28,12
0,No Buy,25,4
0,No Buy,5,5
0,No Buy,24,10
0,No Buy,5,3
0,No Buy,18,3
0,No Buy,30,4
0,No Buy,81,24
0,No Buy,6,4
0,No Buy,13,8
0,No Buy,2,3
0,No Buy,1,2
0,No Buy,6,3
0,No Buy,21,9
0,No Buy,1,3
0,No Buy,24,7
0,No Buy,1,4
0,No Buy,8,5
0,No Buy,17,27
0,No Buy,25,36
0,No Buy,23,4
0,No Buy,1,4
0,No Buy,1,1
0,No Buy,1,5
0.99,Buy,31,7
0,No Buy,5,5
0,No Buy,1,2
0.99,Buy,1,3
0,No Buy,2,3
0.99,Buy,126,72
0.99,Buy,5,5
0.99,Buy,8,3
0.99,Buy,12,3
0.99,Buy,2,2
0,No Buy,3,4
0,No Buy,19,4
0,No Buy,7,3
0.99,Buy,44,24
0,No Buy,1,2
0.99,Buy,22,4
0.99,Buy,26,5
0,No Buy,8,4
0.99,Buy,16,5
0,No Buy,3,10
0.99,Buy,44,14
0,No Buy,6,2
0,No Buy,1,2
0.99,Buy,5,3
0,No Buy,15,3
0.99,Buy,1,2
0,No Buy,1,2
0.99,Buy,1,3
0.99,Buy,99,25
0,No Buy,28,7
0,No Buy,10,6
0.99,Buy,42,13
0.99,Buy,45,12
0.99,Buy,16,4
0,No Buy,3,3
0,No Buy,6,6
0.99,Buy,2,2
0.99,Buy,42,36
1.99,Buy,4,2
0.99,Buy,5,4
0.99,Buy,11,7
0,No Buy,43,101
0.99,Buy,58,15
0.99,Buy,2,3
0.99,Buy,10,4
0,No Buy,4,3
0,No Buy,1,4
0.99,Buy,10,8
0.99,Buy,18,10
0,No Buy,1,2
0,No Buy,35,20
0.99,Buy,6,7
1.99,Buy,31,12
0,No Buy,2,5
0,No Buy,15,8
0.99,Buy,6,3
0.99,Buy,47,5
0.99,Buy,7,4
0.99,Buy,1,2
0.99,Buy,35,24
0,No Buy,7,3
0,No Buy,2,4
0.99,Buy,33,12
0,No Buy,2,3
0,No Buy,10,7
0,No Buy,3,3
0.99,Buy,65,23
0,No Buy,3,2
0.99,Buy,1,2
0,No Buy,8,5
0,No Buy,4,14
0,No Buy,1,3
0,No Buy,67,32
0.99,Buy,9,4
0,No Buy,9,4
0,No Buy,20,3
0,No Buy,5,11
0.99,Buy,6,9
259,Buy,13,28
0.99,Buy,1,2
0.99,Buy,16,13
0.99,Buy,7,6
0.99,Buy,8,2
0.99,Buy,51,40
0,No Buy,64,16
0.99,Buy,8,8
0,No Buy,14,7
0.99,Buy,36,11
1.99,Buy,28,12
0.99,Buy,24,3
0.99,Buy,4,7
0,No Buy,3,3
0,No Buy,1,2
0,No Buy,1,2
0.99,Buy,9,3
0.99,Buy,10,7
0,No Buy,30,9
0,No Buy,22,3
0,No Buy,1,2
0,No Buy,6,13
0.99,Buy,17,19
0.99,Buy,4,6
0.99,Buy,3,2
0,No Buy,6,7
0.99,Buy,44,22
0,No Buy,2,2
0.99,Buy,14,8
0,No Buy,19,3
0.99,Buy,23,15
0.99,Buy,15,7
0.99,Buy,44,10
0.99,Buy,1,3
0.99,Buy,17,14
0.99,Buy,7,4
0,No Buy,19,7
1.99,Buy,19,41
0,No Buy,4,3
0,No Buy,7,2
0.99,Buy,14,3
0.99,Buy,16,7
0.99,Buy,2,2
0,No Buy,7,6
0,No Buy,20,3
0.99,Buy,14,8
0,No Buy,20,8
0,No Buy,29,13
0.99,Buy,2,3
0.99,Buy,12,14
0.99,Buy,14,4
0,No Buy,2,13
1.99,Buy,19,5
0.99,Buy,13,18
0.99,Buy,6,8
0.99,Buy,32,24
0.99,Buy,11,13
0.99,Buy,4,9
0.99,Buy,67,29
0.99,Buy,8,5
0.99,Buy,34,37
0.99,Buy,12,5
0.99,Buy,7,2
0.99,Buy,20,11
0.99,Buy,28,18
0.99,Buy,1,2
0.99,Buy,1,10
0.99,Buy,6,3
0.99,Buy,5,4
0,No Buy,16,11
0.99,Buy,18,11
0.99,Buy,1,3
0,No Buy,1,2
0.99,Buy,17,22
0.99,Buy,19,26
0,No Buy,1,2
0.99,Buy,2,3
0.99,Buy,91,39
0.99,Buy,2,2
9.99,Buy,2,13
0,No Buy,1,2
0.99,Buy,16,3
11.99,Buy,3,12
0.99,Buy,1,3
0.99,Buy,5,11
0.99,Buy,10,10
0.99,Buy,14,3
0.99,Buy,4,4
0.99,Buy,10,12
0.99,Buy,14,16
0.99,Buy,23,13
0,No Buy,20,13
9.99,Buy,2,14
0.99,Buy,12,12
0.99,Buy,9,11
0.99,Buy,24,12
0.99,Buy,18,4
0,No Buy,2,3
0,No Buy,1,3
0,No Buy,12,1
0,No Buy,2,1
0,No Buy,5,6
0,No Buy,13,8
0,No Buy,12,4
9.99,Buy,15,24
0,No Buy,1,3
0,No Buy,1,2
0,No Buy,2,2
0,No Buy,2,3
0,No Buy,10,12
0,No Buy,1,2
0,No Buy,12,10
0,No Buy,2,5
0,No Buy,5,6
0,No Buy,5,5
0,No Buy,9,10
0,No Buy,2,5
0.99,Buy,12,10
0.99,Buy,17,5
0,No Buy,1,4
0,No Buy,5,9
0,No Buy,5,10
0,No Buy,3,3
0,No Buy,24,3
0,No Buy,19,10
0,No Buy,10,11
0,No Buy,1,6
0,No Buy,1,4
0,No Buy,6,2
0,No Buy,4,6
0,No Buy,1,4
0,No Buy,6,8
0,No Buy,1,2
0,No Buy,1,4
0,No Buy,34,25
0,No Buy,1,5
0,No Buy,1,4
0,No Buy,9,12
0,No Buy,5,8
0,No Buy,2,2
0,No Buy,31,6
0,No Buy,8,20
0,No Buy,1,2
0,No Buy,3,2
0,No Buy,19,8
0,No Buy,1,1
0,No Buy,1,4
0,No Buy,5,6
0,No Buy,40,16
0,No Buy,5,10
0,No Buy,2,4
0,No Buy,7,8
0,No Buy,4,2
0,No Buy,4,3
0,No Buy,2,5
0,No Buy,11,5
0,No Buy,3,3
0,No Buy,1,3
0,No Buy,5,4
0,No Buy,10,24
0,No Buy,8,9
0,No Buy,15,41
0,No Buy,10,8
0,No Buy,1,2
0,No Buy,1,4
0,No Buy,28,8
0,No Buy,6,5
0,No Buy,9,9
0,No Buy,6,5
0,No Buy,2,4
0,No Buy,12,9
0,No Buy,4,3
0,No Buy,1,3
0,No Buy,8,5
0,No Buy,4,15
0.99,Buy,15,15
0,No Buy,2,3
0,No Buy,1,4
0,No Buy,29,31
0,No Buy,57,11
0,No Buy,9,21
0,No Buy,7,23
0.99,Buy,45,20
0,No Buy,27,9
0.99,Buy,6,9
0.99,Buy,12,9
0,No Buy,5,3
0.99,Buy,3,3
0.99,Buy,1,3
0,No Buy,2,4
0.99,Buy,11,21
4.99,Buy,28,16
1.99,Buy,23,39
0.99,Buy,3,3
0.99,Buy,1,2
0.99,Buy,9,7
0.99,Buy,14,5
9.99,Buy,4,14
79,Buy,15,26
0.99,Buy,5,4
0.99,Buy,27,9
0.99,Buy,15,18
0.99,Buy,9,4
0.99,Buy,4,10
0,No Buy,2,4
0,No Buy,1,4
0,No Buy,12,3
0.99,Buy,1,2
0.99,Buy,23,6
0.99,Buy,10,11
0,No Buy,2,2
0.99,Buy,7,3
0.99,Buy,14,6
0.99,Buy,19,4
0.99,Buy,4,2
0.99,Buy,20,5
0.99,Buy,3,3
0.99,Buy,35,8
0.99,Buy,10,5
1.99,Buy,6,13
0.99,Buy,63,32
0.99,Buy,9,9
0,No Buy,1,3
0,No Buy,3,7
0,No Buy,3,12
0,No Buy,2,3
0,No Buy,5,5
0.99,Buy,10,18
0,No Buy,1,1
1.99,Buy,12,9
0,No Buy,1,6
0.99,Buy,6,3
4.95,Buy,2,7
0,No Buy,1,10
0,No Buy,68,19
0,No Buy,1,3
0.99,Buy,30,16
0.99,Buy,21,5
0,No Buy,2,4
0,No Buy,63,31
0,No Buy,1,4
0,No Buy,17,29
0,No Buy,1,5
0,No Buy,19,9
0,No Buy,1,4
0,No Buy,6,4
0,No Buy,20,4
0,No Buy,1,4
0,No Buy,2,4
0,No Buy,7,5
0,No Buy,2,14
0,No Buy,2,10
0,No Buy,3,4
0,No Buy,6,12
0,No Buy,2,3
0,No Buy,19,6
0,No Buy,1,3
0,No Buy,11,12
0,No Buy,14,2
0,No Buy,15,3
0,No Buy,2,2
154,Buy,14,22
0,No Buy,3,2
0.99,Buy,26,57
0.99,Buy,30,20
0.99,Buy,54,7
0,No Buy,5,2
0,No Buy,2,5
0,No Buy,19,3
0.99,Buy,13,7
0.99,Buy,25,16
0.99,Buy,1,3
0.99,Buy,27,21
0.99,Buy,8,7
0,No Buy,3,5
0,No Buy,5,10
0,No Buy,5,10
0.99,Buy,2,5
0.99,Buy,21,14
0,No Buy,26,4
0,No Buy,23,14
0.99,Buy,10,10
0.99,Buy,2,5
0.99,Buy,13,16
12.99,Buy,15,21
0.99,Buy,12,15
4.99,Buy,26,10
0,No Buy,11,23
0,No Buy,9,4
0,No Buy,3,3
0.99,Buy,37,33
0,No Buy,14,5
0.99,Buy,4,3
0,No Buy,2,4
0,No Buy,8,11
0,No Buy,2,3
0,No Buy,2,5
0,No Buy,1,2
0.99,Buy,20,4
0,No Buy,32,24
0,No Buy,3,4
0,No Buy,4,14
0,No Buy,17,16
0,No Buy,106,44
0.99,Buy,30,3
0,No Buy,48,16
0,No Buy,36,20
0,No Buy,1,2
0,No Buy,1,6
0,No Buy,20,11
0,No Buy,9,5
0.99,Buy,1,2
0,No Buy,2,4
0.99,Buy,10,5
0,No Buy,6,6
0.99,Buy,5,5
0.99,Buy,11,6
0.99,Buy,13,8
0,No Buy,53,5
0.99,Buy,3,4
0,No Buy,30,3
0.99,Buy,3,2
0,No Buy,25,2
0,No Buy,45,5
0,No Buy,34,3
0.99,Buy,9,4
0,No Buy,12,2
0.99,Buy,37,16
0,No Buy,41,4
0,No Buy,6,4
0.99,Buy,12,3
0,No Buy,16,20
0.99,Buy,12,9
0,No Buy,9,4
0,No Buy,1,4
0,No Buy,6,9
0,No Buy,6,14
0,No Buy,5,6
0.99,Buy,72,15
0,No Buy,29,13
0,No Buy,1,3
11.99,Buy,5,13
0,No Buy,6,4
0.99,Buy,7,2
0.99,Buy,16,6
0.99,Buy,4,4
0,No Buy,1,6
0,No Buy,1,5
0,No Buy,2,7
0,No Buy,8,16
0,No Buy,4,4
0,No Buy,1,2
0,No Buy,10,4
0,No Buy,25,6
0,No Buy,12,5
0.99,Buy,26,36
1.29,Buy,53,31
0.99,Buy,3,3
0,No Buy,59,11
9.99,Buy,1,16
0,No Buy,4,4
0,No Buy,9,3
0,No Buy,23,19
0,No Buy,18,20
0,No Buy,36,31
0,No Buy,1,4
0,No Buy,10,24
0,No Buy,21,15
0,No Buy,26,14
0,No Buy,6,2
0,No Buy,2,4
0,No Buy,2,3
0,No Buy,11,7
0,No Buy,21,29
0,No Buy,5,6
0,No Buy,3,2
0,No Buy,2,5
0,No Buy,1,1
0,No Buy,1,3
0,No Buy,17,17
0,No Buy,5,3
0,No Buy,2,2
0,No Buy,9,5
0,No Buy,9,4
0,No Buy,1,3
0,No Buy,6,9
0,No Buy,2,2
0,No Buy,30,17
0,No Buy,2,2
0,No Buy,27,17
0,No Buy,2,3
0,No Buy,41,14
0,No Buy,4,3
0,No Buy,1,8
