Sales,Buy,Duration,PageViews
0,No Buy,5,3
0.99,Buy,16,10
0.99,Buy,32,20
0.99,Buy,29,13
0.99,Buy,72,26
0,No Buy,2,6
0.99,Buy,34,19
0.99,Buy,42,31
0.99,Buy,62,27
0,No Buy,1,3
0,No Buy,6,10
0,No Buy,1,1
0,No Buy,1,5
0,No Buy,3,4
0.99,Buy,29,3
0.99,Buy,21,2
0.99,Buy,11,8
0,No Buy,3,6
0,No Buy,1,3
0,No Buy,8,9
0,No Buy,1,4
0,No Buy,1,3
0,No Buy,5,2
0,No Buy,3,6
0,No Buy,10,6
1.99,Buy,29,28
0,No Buy,10,12
0,No Buy,1,4
0.99,Buy,17,12
0,No Buy,22,14
0,No Buy,1,3
0.99,Buy,11,14
0,No Buy,3,6
0.99,Buy,25,10
0,No Buy,1,4
0,No Buy,1,4
0.99,Buy,1,3
0,No Buy,5,10
0,No Buy,20,4
0.99,Buy,30,26
149,Buy,15,39
0,No Buy,4,14
0,No Buy,2,4
0.99,Buy,3,3
42,Buy,8,25
0,No Buy,6,4
0,No Buy,1,4
0,No Buy,9,6
0,No Buy,4,11
0,No Buy,5,6
0,No Buy,1,3
0,No Buy,2,2
0,No Buy,3,7
0,No Buy,1,4
0,No Buy,2,4
0,No Buy,12,17
0,No Buy,1,7
0,No Buy,2,3
0,No Buy,1,2
0,No Buy,9,8
0,No Buy,31,20
0,No Buy,1,3
0,No Buy,22,14
0,No Buy,16,9
0,No Buy,6,6
0,No Buy,1,4
0,No Buy,4,9
0,No Buy,16,29
0,No Buy,3,5
0,No Buy,2,4
0,No Buy,15,17
0,No Buy,13,6
0,No Buy,3,3
0,No Buy,3,3
0,No Buy,11,6
0,No Buy,2,6
0,No Buy,2,6
0.99,Buy,5,3
25,Buy,18,21
0.99,Buy,5,6
0.99,Buy,5,4
0.99,Buy,1,3
0.99,Buy,5,5
0.99,Buy,8,11
0.99,Buy,1,2
0,No Buy,5,3
9.99,Buy,7,12
0.99,Buy,25,11
9.99,Buy,8,13
0,No Buy,1,2
0,No Buy,1,2
0.99,Buy,19,19
0.99,Buy,6,6
0.99,Buy,27,15
0.99,Buy,7,4
0,No Buy,1,3
0.99,Buy,16,10
0.99,Buy,17,6
0.99,Buy,16,7
0.99,Buy,10,7
4.99,Buy,2,2
0,No Buy,21,8
0,No Buy,22,6
0,No Buy,7,3
0.99,Buy,88,10
0,No Buy,2,2
0,No Buy,34,9
0,No Buy,5,3
0,No Buy,29,4
0,No Buy,7,5
0,No Buy,23,13
0,No Buy,4,2
0,No Buy,1,4
0,No Buy,36,11
0,No Buy,33,13
0,No Buy,19,15
0,No Buy,3,6
1.99,Buy,2,7
0,No Buy,15,10
0,No Buy,1,4
0,No Buy,15,9
0,No Buy,1,4
0,No Buy,22,6
0,No Buy,3,3
0,No Buy,30,10
0,No Buy,9,10
0,No Buy,7,6
0,No Buy,1,4
0,No Buy,10,10
0,No Buy,15,14
0,No Buy,4,8
0,No Buy,9,4
99.8,Buy,48,54
0,No Buy,17,5
0,No Buy,26,12
0,No Buy,2,5
0,No Buy,1,2
0,No Buy,23,39
0,No Buy,9,3
0,No Buy,47,3
0,No Buy,2,5
0,No Buy,2,3
0,No Buy,3,3
0,No Buy,9,9
0,No Buy,6,13
0,No Buy,20,13
0,No Buy,20,14
0,No Buy,3,4
0,No Buy,41,10
0,No Buy,35,11
0,No Buy,3,4
0,No Buy,9,11
0,No Buy,1,4
0,No Buy,14,9
0,No Buy,1,3
0,No Buy,3,5
0,No Buy,1,3
0,No Buy,4,7
0,No Buy,2,3
0,No Buy,3,5
0,No Buy,5,7
0,No Buy,2,3
0,No Buy,14,5
0,No Buy,1,2
0,No Buy,8,11
0,No Buy,13,4
0,No Buy,10,7
0,No Buy,12,7
0,No Buy,33,22
0,No Buy,1,3
0,No Buy,3,5
0,No Buy,45,17
0,No Buy,2,7
0,No Buy,2,13
0,No Buy,1,7
0,No Buy,4,9
0,No Buy,8,1
0,No Buy,15,4
0.99,Buy,2,8
0,No Buy,3,3
0,No Buy,3,6
0,No Buy,25,4
0,No Buy,2,8
0,No Buy,20,4
0,No Buy,26,9
0,No Buy,39,11
0,No Buy,16,3
0,No Buy,5,6
0,No Buy,3,3
0,No Buy,1,2
0,No Buy,6,4
0.99,Buy,61,40
0,No Buy,1,2
0,No Buy,3,5
0,No Buy,2,5
0,No Buy,1,5
0,No Buy,5,2
0,No Buy,1,3
0,No Buy,1,13
0,No Buy,1,4
0.99,Buy,23,20
0,No Buy,23,26
0,No Buy,4,3
0,No Buy,1,3
0,No Buy,1,6
0,No Buy,19,7
0,No Buy,6,5
0,No Buy,15,16
0,No Buy,64,31
0,No Buy,35,50
0.99,Buy,7,10
0,No Buy,4,4
0.99,Buy,7,8
0,No Buy,5,5
0,No Buy,5,3
0.99,Buy,10,10
0.99,Buy,3,6
0.99,Buy,15,8
0,No Buy,2,4
0.99,Buy,6,5
0.99,Buy,7,6
0.99,Buy,2,4
0.99,Buy,15,2
0,No Buy,1,4
0,No Buy,1,3
1.99,Buy,23,10
0,No Buy,3,6
0,No Buy,15,10
0.99,Buy,32,1
0,No Buy,3,3
409,Buy,10,13
0,No Buy,13,6
0,No Buy,23,16
0,No Buy,4,2
0,No Buy,10,15
0,No Buy,11,9
0,No Buy,12,8
1.99,Buy,61,33
1.99,Buy,1,2
0.99,Buy,17,14
0,No Buy,6,3
0,No Buy,11,5
0,No Buy,34,12
0,No Buy,67,28
0,No Buy,7,7
0.99,Buy,7,8
0.99,Buy,7,13
0.99,Buy,4,6
0,No Buy,1,5
0,No Buy,2,2
0,No Buy,5,5
0,No Buy,1,3
0,No Buy,1,3
0,No Buy,14,11
0,No Buy,1,2
0,No Buy,1,6
0,No Buy,4,5
0,No Buy,12,6
0,No Buy,5,7
0,No Buy,39,6
0.99,Buy,28,37
0,No Buy,1,3
0,No Buy,1,3
0,No Buy,1,2
0,No Buy,1,3
0,No Buy,15,3
0,No Buy,2,2
0,No Buy,14,20
0,No Buy,8,3
0,No Buy,18,4
0,No Buy,43,20
0,No Buy,3,3
0,No Buy,6,5
0,No Buy,2,9
0,No Buy,1,2
0,No Buy,5,2
0,No Buy,5,6
0,No Buy,17,9
0,No Buy,14,10
0,No Buy,2,4
0,No Buy,22,11
0,No Buy,6,5
0,No Buy,2,7
0,No Buy,4,8
0,No Buy,1,5
0,No Buy,3,2
0,No Buy,1,6
0,No Buy,5,3
0,No Buy,42,10
1852,Buy,53,60
0,No Buy,1,3
0,No Buy,3,8
0,No Buy,5,16
0,No Buy,19,9
0,No Buy,1,3
0,No Buy,1,4
0,No Buy,8,19
0,No Buy,16,13
0,No Buy,2,4
0,No Buy,13,11
0.99,Buy,11,2
0,No Buy,1,3
0,No Buy,1,2
0,No Buy,5,3
0,No Buy,1,3
1.49,Buy,1,12
0,No Buy,3,4
0,No Buy,1,4
9.99,Buy,26,28
0,No Buy,21,11
0,No Buy,42,65
0.99,Buy,56,37
0,No Buy,2,2
0,No Buy,1,3
0,No Buy,1,7
0,No Buy,1,11
9.99,Buy,2,5
1.99,Buy,1,12
0,No Buy,1,3
0.99,Buy,2,5
0.99,Buy,5,15
0.99,Buy,1,4
0.99,Buy,16,21
0,No Buy,1,4
0,No Buy,2,2
0.99,Buy,37,13
0,No Buy,10,8
0.99,Buy,6,4
0.99,Buy,3,5
0.99,Buy,11,13
0,No Buy,43,15
0.99,Buy,31,30
9.99,Buy,12,28
0.99,Buy,41,11
0.99,Buy,15,14
0.99,Buy,86,60
0,No Buy,2,7
0,No Buy,16,23
0,No Buy,20,7
0,No Buy,1,4
0,No Buy,29,7
349,Buy,13,12
0,No Buy,5,6
0,No Buy,19,5
0,No Buy,18,6
0,No Buy,6,9
0,No Buy,14,8
0,No Buy,3,3
0,No Buy,57,35
0,No Buy,38,14
0,No Buy,4,4
0,No Buy,10,6
0,No Buy,8,4
0,No Buy,11,4
0,No Buy,24,15
0,No Buy,10,8
0,No Buy,4,6
0,No Buy,13,5
0,No Buy,13,4
0,No Buy,4,4
0,No Buy,2,3
0,No Buy,2,2
0,No Buy,15,10
0,No Buy,7,4
0,No Buy,5,4
0,No Buy,1,2
0,No Buy,2,3
0,No Buy,1,6
0,No Buy,11,26
0,No Buy,1,3
0,No Buy,3,7
0,No Buy,6,9
0,No Buy,15,9
0,No Buy,5,5
0,No Buy,1,4
0,No Buy,27,1
0,No Buy,4,11
0,No Buy,1,6
0,No Buy,2,4
0,No Buy,2,7
0,No Buy,3,3
0,No Buy,5,3
0,No Buy,8,1
0,No Buy,1,2
9.99,Buy,12,17
0,No Buy,17,14
0,No Buy,10,5
0.99,Buy,4,12
0,No Buy,14,10
0,No Buy,2,3
0,No Buy,7,5
0.99,Buy,11,13
0,No Buy,90,11
0,No Buy,23,5
0,No Buy,2,13
0,No Buy,17,3
0.99,Buy,1,2
0,No Buy,26,8
0.99,Buy,26,2
0.99,Buy,17,9
0.99,Buy,11,5
0.99,Buy,22,10
0,No Buy,8,4
0.99,Buy,3,4
0.99,Buy,20,12
0.99,Buy,23,7
0,No Buy,3,4
0.99,Buy,5,4
0,No Buy,1,4
0,No Buy,3,4
0,No Buy,2,7
0.99,Buy,18,6
0.99,Buy,12,6
0.99,Buy,7,6
0,No Buy,18,37
0,No Buy,1,2
0,No Buy,9,4
0,No Buy,1,3
0,No Buy,2,6
0,No Buy,1,3
0,No Buy,1,5
0,No Buy,1,1
0.99,Buy,31,15
0.99,Buy,25,10
282.95,Buy,42,70
0.99,Buy,13,5
0.99,Buy,33,15
0,No Buy,1,2
0.99,Buy,29,24
0.99,Buy,3,13
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,3,4
0,No Buy,7,3
0,No Buy,2,3
0,No Buy,2,2
0,No Buy,2,4
0,No Buy,1,4
0.99,Buy,4,4
0.99,Buy,41,55
0.99,Buy,33,11
0.99,Buy,149,59
0.99,Buy,106,48
0.99,Buy,128,61
0,No Buy,1,6
0.99,Buy,6,4
15.99,Buy,115,69
0.99,Buy,26,4
16.99,Buy,69,52
0.99,Buy,80,52
